epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,3013.64,1.12401,6.02309,1.00832,0.69739,0.57803,0.65375,0.3034,1.68043,8.80836,1.17201,0.0011752,0.0011752,0.0011752
151,3034.93,1.09411,5.88997,1.02733,0.69311,0.59283,0.65221,0.304,1.6977,8.95591,1.18684,0.0011719,0.0011719,0.0011719
152,3056.47,1.10566,5.91797,1.0197,0.73886,0.56678,0.65221,0.30227,1.70992,8.34025,1.1887,0.0011686,0.0011686,0.0011686
153,3081.13,1.1248,6.06501,1.02526,0.72601,0.59771,0.67095,0.30832,1.70281,8.54774,1.19067,0.0011653,0.0011653,0.0011653
154,3099.13,1.12607,5.97568,1.0118,0.73028,0.60852,0.67442,0.31494,1.69242,8.36469,1.19265,0.001162,0.001162,0.001162
155,3126.56,1.09343,5.73469,0.98988,0.66104,0.60507,0.64291,0.29653,1.71785,8.8152,1.18959,0.0011587,0.0011587,0.0011587
156,3147.06,1.14393,5.9836,0.9987,0.70571,0.61318,0.67589,0.31589,1.68623,8.57518,1.17615,0.0011554,0.0011554,0.0011554
157,3165.63,1.05001,5.67675,0.98656,0.71103,0.59609,0.66786,0.30877,1.64842,8.56667,1.1687,0.0011521,0.0011521,0.0011521
158,3183.07,1.08556,5.70424,0.99074,0.70977,0.5855,0.65395,0.30904,1.66015,8.70183,1.17928,0.0011488,0.0011488,0.0011488
159,3200.99,1.10494,5.85456,1.01438,0.74761,0.5934,0.67272,0.31277,1.68596,8.58315,1.19269,0.0011455,0.0011455,0.0011455
160,3219.41,1.06948,5.8268,1.00466,0.70223,0.59148,0.67091,0.31273,1.66803,8.71555,1.16902,0.0011422,0.0011422,0.0011422
161,3238.09,1.09108,5.93848,0.98622,0.71698,0.57899,0.65667,0.31427,1.67825,8.57947,1.17305,0.00113889,0.00113889,0.00113889
162,3255.21,1.11528,5.83072,0.99173,0.73192,0.57139,0.66416,0.30788,1.68315,8.48512,1.17482,0.00113559,0.00113559,0.00113559
163,3272.47,1.09317,5.87074,0.99892,0.70447,0.58428,0.66174,0.30835,1.68754,8.45066,1.17963,0.00113229,0.00113229,0.00113229
164,3291.82,1.07501,5.72508,0.99304,0.71607,0.62638,0.67718,0.31709,1.64811,8.50412,1.1518,0.00112899,0.00112899,0.00112899
165,3310.52,1.00979,5.65843,0.9904,0.69846,0.61645,0.67532,0.3188,1.64427,8.25757,1.15185,0.00112569,0.00112569,0.00112569
166,3328.58,1.09991,5.89901,0.99087,0.67944,0.60583,0.65162,0.29825,1.65837,8.98442,1.14812,0.00112239,0.00112239,0.00112239
167,3348.39,1.08005,5.77972,1.00042,0.71999,0.59528,0.67093,0.30857,1.68495,8.84722,1.1682,0.00111909,0.00111909,0.00111909
168,3367.51,1.05649,5.62697,0.95867,0.70545,0.60342,0.66432,0.30187,1.68078,9.22277,1.1706,0.00111579,0.00111579,0.00111579
169,3388.28,1.06082,5.77518,0.99103,0.73768,0.59446,0.67449,0.31311,1.64974,8.63208,1.14993,0.00111249,0.00111249,0.00111249
170,3412.76,1.10286,5.80941,1.00386,0.72131,0.61238,0.68086,0.32029,1.64938,8.36273,1.14921,0.00110919,0.00110919,0.00110919
171,3436.36,1.04739,5.44369,0.97053,0.72345,0.60342,0.6843,0.3189,1.65551,8.54078,1.15753,0.00110589,0.00110589,0.00110589
172,3454.06,1.09691,5.69478,0.96448,0.71175,0.60912,0.6869,0.32377,1.63644,8.56636,1.15046,0.00110259,0.00110259,0.00110259
173,3471.66,0.98951,5.30153,0.96644,0.73684,0.59691,0.66301,0.31626,1.6667,8.41681,1.17133,0.00109929,0.00109929,0.00109929
174,3489.31,1.07357,5.65711,0.96673,0.7168,0.61217,0.6805,0.32296,1.66672,8.49778,1.16808,0.00109599,0.00109599,0.00109599
175,3509.12,1.04023,5.65104,0.9745,0.68649,0.62589,0.67377,0.31592,1.67628,8.63068,1.17415,0.00109269,0.00109269,0.00109269
176,3526.87,1.05874,5.58359,0.9878,0.7192,0.59935,0.66373,0.3224,1.66054,8.46693,1.17114,0.00108938,0.00108938,0.00108938
177,3545.01,1.05132,5.56967,0.98826,0.72011,0.58306,0.65385,0.314,1.64764,8.53003,1.1557,0.00108608,0.00108608,0.00108608
178,3561.84,1.0632,5.71317,0.98979,0.71729,0.59202,0.66335,0.3061,1.69452,8.7809,1.19733,0.00108278,0.00108278,0.00108278
